recorded_at_utc	git_commit	git_change	git_dirty	platform	python	rdkit	cpu_model	visible_cpus	cgroup_memory_limit_bytes	container	surface	molecule	atoms	support	enum_mean_s	enum_std_s	decoder_per_root_mean_s	decoder_per_root_std_s	determinized_decoder_per_root_mean_s	determinized_decoder_per_root_std_s	decoder_merged_mean_s	decoder_merged_std_s	determinized_decoder_merged_mean_s	determinized_decoder_merged_std_s	rdkit_half_mean_s	rdkit_half_std_s	rdkit_half_draw_mean	rdkit_half_draw_std	rdkit_full_mean_s	rdkit_full_std_s	rdkit_full_draw_mean	rdkit_full_draw_std
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	CC(=O)Oc1ccccc1C(=O)O	13	304	0.012206372705155186	0.0008508293455977867	0.035875138394268494	0.0029357164801093994	0.03798409331856029	0.0021054295517574	0.023418651028935398	0.0027954723883358863	0.019874451282833303	0.0007634613418555816	0.00517332144746823	0.0004498383368731803	230	18.752777572046938	0.06772358968321766	0.019835633155437148	3086.714285714286	921.832543412977
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	C1CC2(CCO1)CO2	8	36	0.004999522751729403	0.0003259498031477234	0.009438724556405629	0.0004789884188421804	0.007643810307074871	9.121177630161725e-05	0.004195111304787653	0.0004562044531380134	0.0029146606767816202	4.102019009904112e-05	0.00034367053636482785	3.544618197520119e-05	23	1.8257418583505538	0.0021967784435089144	0.0005070759744895183	155.57142857142858	35.795051533497116
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	CN1CCC[C@H]1c1cccnc1	12	136	0.009257287585309573	0.0005219157553665398	0.019735720474272966	0.0010340588482473775	0.01994775784468012	0.00037598694444793086	0.009567429743973272	0.0003478480496193045	0.008482331443311912	0.0003095075797127087	0.002155465306714177	0.00020414162954980776	97.42857142857143	8.715066319448232	0.02664366384435977	0.0036376101051901226	987.8571428571429	169.91314307750355
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	CNC(=O)O/N=C(\C)SC	10	72	0.007484524743631482	0.0007916129687958708	0.012546161588813578	0.0010171400816674674	0.010906064151121038	0.001011000697314612	0.004584618145599961	0.0005910573268128278	0.004346613406336733	3.369907705185549e-05	0.0007399874739348888	2.9628138606594814e-05	44.142857142857146	2.4784787961282104	0.007824850434969579	0.00195597722153082	483	122.30699080592245
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	14	688	0.015150419502918209	0.0006043699844520771	0.05630747205577791	0.009860662078667272	0.054027336350243	0.0039581128921333765	0.037545035992349894	0.003196421623302672	0.04220878755274628	0.0019246666376036765	0.012230248855693	0.000521007143014532	514.2857142857143	12.893335303097304	0.18136359860987536	0.05705688653630423	7946.714285714285	2448.577731002613
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	17	1504	0.020689906253080283	0.0006298948622991852	0.12584166953872358	0.006763894492196412	0.13887686924343662	0.020358465871714797	0.09342642141772169	0.005933034932916013	0.09345192039784576	0.003864230319507806	0.032255015801638365	0.0016366145591121168	1143	34.02450097601237	0.7406891918674644	0.16282980066673025	24406.285714285714	4916.17563811159
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	16	620	0.02145716897211969	0.00231440283155093	0.1160422063632203	0.0069565302354513015	0.11869081069848367	0.007245587908338615	0.07452492672018707	0.004111767852333715	0.05323005690505462	0.004452814207375377	0.018403333112863556	0.001487086089008519	492.57142857142856	14.199262220941186	0.3105000589774655	0.08834468162966777	7245.714285714285	2133.693879503002
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([CH]C)CC[C@@H]12	22	5548	0.0713059871257948	0.034702963620761786	0.5179491324483284	0.03185519877302464	0.534717268742887	0.020019419560395327	0.3843872290703335	0.023896246803430946	0.3792361283142652	0.012611667606817515	0.1775208571593144	0.005229846533274981	4681.428571428572	66.06021783912297	5.521372945014654	0.9687253238613359	128516.42857142857	19796.18981737936
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	non-stereo	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1	25	12096	0.09192883715565715	0.007311650187206425	2.4331501111321683	0.19146588340710788	1.4735784191039525	0.02132626954209953	1.5160158736232137	0.08515425500683152	0.9823405077414853	0.08774518223679115	0.501336234388873	0.07332999787723986	9630.142857142857	75.26049997935742	14.037361474075754	3.1545478580425397	261894.57142857142	39129.67314735772
2026-06-03T16:36:09+00:00	5f90f564c0b2	Prepare v0.1.15 release	False	Linux-6.17.0-23-generic-x86_64-with-glibc2.36	3.12.13	2026.03.1	AMD Ryzen 5 7640U w/ Radeon 760M Graphics	12	2147483648	compose/timings-enum.yml timings-enum service, network disabled	stereo	CC(=O)Oc1ccccc1C(=O)O	13	304	0.015018666129825371	0.0009842004430911395	0.03855791401916316	0.002032904396866926	0.03898086944328887	0.002562320628640771	0.02354294477429773	0.0011086190283924964	0.021559019406725253	0.000842243842190855	0.005791499179654888	0.0005389562934724205	222.57142857142858	3.779644730092272	0.08015061825114701	0.01766476641707039	3128.4285714285716	683.9349036136059
