surface	molecule	atoms	support	enum_mean_s	enum_std_s	decoder_per_root_mean_s	decoder_per_root_std_s	determinized_decoder_per_root_mean_s	determinized_decoder_per_root_std_s	decoder_merged_mean_s	decoder_merged_std_s	determinized_decoder_merged_mean_s	determinized_decoder_merged_std_s	rdkit_half_mean_s	rdkit_half_std_s	rdkit_half_draw_mean	rdkit_half_draw_std	rdkit_full_mean_s	rdkit_full_std_s	rdkit_full_draw_mean	rdkit_full_draw_std
non-stereo	CC(=O)Oc1ccccc1C(=O)O	13	304	0.006868307611771992	0.000987006021479707	0.012722623833854283	0.0004256917730817987	0.013873005452166711	0.0014033771423485695	0.006887279001862875	0.0006103214148086758	0.0066939642918961385	3.5198441130373065e-05	0.00489971916457372	0.0007942422368425426	230	18.752777572046938	0.06195498432498425	0.01874733961862191	3086.714285714286	921.832543412977
non-stereo	C1CC2(CCO1)CO2	8	36	0.0025044907483139207	4.5623414879234e-05	0.003858560563198158	4.036578251043272e-05	0.003654396710252123	0.00039401546465171354	0.00162149325478822	1.4936418928526501e-05	0.0011294825567996927	9.759804735754504e-06	0.00029904841046248166	2.7472399774962e-05	23	1.8257418583505538	0.001970648017179753	0.0004519980472953631	155.57142857142858	35.795051533497116
non-stereo	CN1CCC[C@H]1c1cccnc1	12	136	0.005365786275693348	0.00013074514697982987	0.008688569734139102	0.0006754764375526267	0.008824056297141527	0.0007860685780032639	0.0035595918806003673	0.0002441290022072566	0.0033847888532493797	3.344410575586811e-05	0.0019639351438464864	0.00018484864427963213	97.42857142857143	8.715066319448232	0.02013004316748785	0.004005005254836489	987.8571428571429	169.91314307750355
non-stereo	CNC(=O)O/N=C(\C)SC	10	72	0.0031694325651707394	5.5906650602127094e-05	0.004723104847861188	6.11825248631252e-05	0.005186649837664196	0.0009656435597642205	0.0017200094880536199	8.271974284480214e-05	0.0018542153993621469	0.00011119912951991193	0.0006096327145184789	2.1799398878317348e-05	44.142857142857146	2.4784787961282104	0.006531344410697264	0.0016481961165590031	483	122.30699080592245
non-stereo	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	14	688	0.007902117845203196	0.00019419560566872	0.023048519705688313	0.0014693343599508492	0.023182354734412262	0.0022050662876309858	0.014353326106044863	0.0007163624586188737	0.014596208414461995	0.0004935984951947799	0.011458065693399735	0.0010994814059155063	514.2857142857143	12.893335303097304	0.1695785217120179	0.05109649032326387	7946.714285714285	2448.577731002613
non-stereo	COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	17	1504	0.01449148541515959	0.001004452331044398	0.050812761831496446	0.0024201764288077914	0.05455009685829282	0.003109738663915352	0.03356745787563601	0.0011585653066181342	0.03554092957970819	0.0016784591988617831	0.03311210825839745	0.002999976981033153	1143	34.02450097601237	0.660743653874046	0.12278820708329446	24406.285714285714	4916.17563811159
non-stereo	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	16	620	0.0127888532754566	0.0008670692282819087	0.042978431563824415	0.001853237566878536	0.0426189234047862	0.001787024643367585	0.026847874862141907	0.0004250466304238185	0.018596732722861425	0.00041882457891733555	0.010642478292408799	0.00038548208037233415	492.57142857142856	14.199262220941186	0.1557037515698799	0.04652724672901174	7245.714285714285	2133.693879503002
non-stereo	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([CH]C)CC[C@@H]12	22	5548	0.036319322318636944	0.00077980772422114	0.20769236802256533	0.004073336388333997	0.2214098614640534	0.009348770705290695	0.13829803099257074	0.003958106896268151	0.14300580800045282	0.002433199394959854	0.15984322629602893	0.006663170437400994	4681.428571428572	66.06021783912297	4.261240867531991	0.5727044228520666	128516.42857142857	19796.18981737936
non-stereo	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1	25	12096	0.07328609586693347	0.0006376145229807494	0.8747392672978874	0.01886448840218049	0.5993006322865507	0.013916376220665575	0.5361933494153034	0.005487603757368286	0.33064057759474963	0.0008803174473507397	0.365808017967668	0.003552358154964339	9630.142857142857	75.26049997935742	9.782902829315779	1.5376110454328773	261894.57142857142	39129.67314735772
stereo	CC(=O)Oc1ccccc1C(=O)O	13	304	0.009035655563431126	0.0003102942832712585	0.018136661416584893	0.000810678470001744	0.01625552126539073	0.0007019508551730101	0.008573721296020917	0.0003971376129760385	0.007237968134826848	0.00016863437682424048	0.0046256388637370294	0.00012054886428635323	222.57142857142858	3.779644730092272	0.06218914784091924	0.013790410950608017	3128.4285714285716	683.9349036136059
stereo	C1CC2(CCO1)CO2	8	36	0.00352898271687861	0.00010270229789206703	0.0056209158751049215	5.646416250388359e-05	0.0049259701710460445	6.522671561222574e-05	0.002316169856515314	2.0751460168440535e-05	0.0018678814272529312	3.356303378053549e-05	0.0003127358587724822	3.5907934927426994e-05	23.428571428571427	2.14919697074224	0.0025187121438128607	0.0004922380156719072	192.71428571428572	37.57088538444933
stereo	CN1CCC[C@H]1c1cccnc1	12	136	0.007835791712360722	7.916788311530978e-05	0.01198698571949665	0.00014397432456578045	0.01151443156413734	0.0003344349860524484	0.004633237408207995	8.358301549120557e-05	0.004412427128824804	0.00026949089578227696	0.001913516566024295	0.00013174419487911368	93.14285714285714	5.520524474738834	0.02017719774240894	0.004030388757527618	986.8571428571429	195.67952419830797
stereo	CNC(=O)O/N=C(\C)SC	10	72	0.005636987309636814	0.00020387251384353124	0.01604018426899399	0.0006135650575812354	0.01579595488562648	0.00041073314084450515	0.011543398440283324	0.00021143974852628312	0.010758721119990306	0.000160114169750387	0.0007644755532965064	9.392446168586161e-05	51.285714285714285	6.074928962939559	0.00557696253859571	0.0010558013346791781	411	78.50902283601972
